"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/03/2021";"0000";"20,5";"20,6";"20,4";"96,0";"97,0";"95,0";"19,9";"19,9";"19,7";"927,2";"927,2";"926,5";"1,6";"170,0";"6,0";"";"0,0"
"01/03/2021";"0100";"20,6";"20,6";"20,4";"97,0";"97,0";"96,0";"20,1";"20,2";"19,8";"927,4";"927,4";"927,1";"1,5";"126,0";"3,5";"0,10";"0,0"
"01/03/2021";"0200";"20,5";"20,8";"20,5";"98,0";"98,0";"96,0";"20,1";"20,2";"20,1";"927,0";"927,4";"927,0";"1,4";"164,0";"3,5";"";"0,0"
"01/03/2021";"0300";"20,6";"20,7";"20,5";"97,0";"98,0";"97,0";"20,1";"20,4";"20,1";"926,8";"927,0";"926,8";"1,9";"120,0";"3,9";"";"0,0"
"01/03/2021";"0400";"20,4";"20,6";"20,4";"98,0";"98,0";"97,0";"20,0";"20,1";"19,9";"926,4";"926,8";"926,4";"1,5";"118,0";"4,6";"";"0,0"
"01/03/2021";"0500";"20,4";"20,5";"20,3";"97,0";"98,0";"97,0";"20,0";"20,1";"19,9";"925,8";"926,4";"925,8";"1,3";"116,0";"4,5";"";"0,0"
"01/03/2021";"0600";"20,1";"20,5";"20,1";"97,0";"97,0";"96,0";"19,5";"20,0";"19,5";"925,1";"925,8";"925,1";"1,1";"102,0";"3,6";"";"0,0"
"01/03/2021";"0700";"19,9";"20,2";"19,9";"98,0";"98,0";"96,0";"19,6";"19,7";"19,5";"925,0";"925,2";"925,0";"0,7";"156,0";"2,8";"";"0,0"
"01/03/2021";"0800";"19,9";"20,0";"19,8";"98,0";"98,0";"98,0";"19,6";"19,6";"19,5";"925,2";"925,2";"925,0";"0,6";"120,0";"1,9";"";"0,0"
"01/03/2021";"0900";"19,6";"19,9";"19,5";"98,0";"98,0";"98,0";"19,3";"19,6";"19,2";"925,5";"925,5";"925,2";"0,9";"100,0";"1,9";"";"0,0"
"01/03/2021";"1000";"20,7";"20,7";"19,5";"91,0";"98,0";"91,0";"19,2";"19,3";"18,9";"926,0";"926,0";"925,5";"1,4";"71,0";"3,3";"194,60";"0,0"
"01/03/2021";"1100";"22,5";"22,7";"20,7";"80,0";"91,0";"80,0";"18,9";"19,5";"18,7";"926,5";"926,5";"926,0";"2,1";"52,0";"5,0";"1213,90";"0,0"
"01/03/2021";"1200";"23,8";"23,8";"22,2";"78,0";"84,0";"78,0";"19,7";"20,1";"18,5";"927,0";"927,0";"926,5";"1,8";"70,0";"5,6";"1598,20";"0,0"
"01/03/2021";"1300";"24,0";"24,8";"22,8";"73,0";"81,0";"72,0";"18,8";"20,5";"18,5";"927,1";"927,1";"927,0";"1,7";"18,0";"5,1";"1719,30";"0,0"
"01/03/2021";"1400";"26,2";"26,2";"23,9";"69,0";"76,0";"65,0";"20,1";"20,4";"18,4";"926,8";"927,1";"926,8";"1,2";"67,0";"3,6";"3051,70";"0,0"
"01/03/2021";"1500";"26,9";"27,1";"25,4";"62,0";"71,0";"59,0";"18,9";"20,9";"18,2";"926,3";"926,8";"926,3";"1,6";"110,0";"3,5";"3647,30";"0,2"
"01/03/2021";"1600";"27,7";"27,8";"25,8";"67,0";"67,0";"58,0";"20,9";"20,9";"18,3";"925,6";"926,3";"925,6";"2,0";"113,0";"4,4";"3312,90";"0,0"
"01/03/2021";"1700";"26,8";"28,1";"26,8";"65,0";"68,0";"58,0";"19,7";"21,3";"18,4";"925,0";"925,6";"925,0";"2,6";"106,0";"6,1";"3317,50";"0,0"
"01/03/2021";"1800";"26,3";"27,9";"26,3";"74,0";"75,0";"64,0";"21,2";"22,0";"19,7";"924,2";"925,0";"924,2";"3,3";"123,0";"7,0";"2909,80";"0,0"
"01/03/2021";"1900";"24,5";"26,4";"24,5";"81,0";"82,0";"73,0";"20,9";"22,2";"20,9";"923,9";"924,2";"923,9";"4,0";"139,0";"8,6";"1695,20";"0,0"
"01/03/2021";"2000";"23,2";"24,7";"23,1";"85,0";"86,0";"80,0";"20,5";"21,7";"20,4";"923,8";"924,0";"923,3";"3,4";"153,0";"8,0";"676,50";"0,0"
"01/03/2021";"2100";"21,8";"23,2";"21,8";"95,0";"96,0";"85,0";"20,9";"21,4";"20,5";"924,7";"924,7";"923,8";"2,1";"169,0";"6,2";"55,20";"2,6"
"01/03/2021";"2200";"21,7";"22,0";"21,6";"94,0";"95,0";"93,0";"20,6";"21,1";"20,5";"924,8";"924,9";"924,6";"2,2";"140,0";"5,5";"4,80";"0,0"
